Patient_ID,Dice_ET,HD95_ET,Dice_TC,HD95_TC,Dice_WT,HD95_WT,Dice_Mean,Pred_Empty_ET
sub-014,0.7904179778242747,2.0,0.9168007551865439,2.449489742783178,0.9261998216868718,7.681145747868608,0.8778061848992301,0
sub-030,0.8606650446066505,1.4142135623730951,0.9138554920042021,1.7320508075688772,0.8526834889593113,21.42428528562855,0.8757346751900545,0
sub-041,0.886673302547199,1.0,0.9610646458111917,1.4142135623730951,0.9041215068386518,57.113921245174545,0.9172864850656808,0
sub-059,0.6702506168030126,3.0,0.7987265147621495,5.385164807134504,0.856270998157581,6.164414002968976,0.775082709907581,0
sub-080,0.6853179190751445,2.449489742783178,0.9019136702994937,1.4142135623730951,0.8128423040604343,5.385164807134504,0.8000246311450242,0
sub-088,0.8772097903693059,1.7320508075688772,0.9146748812351544,2.0,0.8161273597852938,22.561028345356956,0.8693373437965848,0
sub-091,0.9280195201301342,1.0,0.9535646629395186,1.4142135623730951,0.9197218930786925,2.23606797749979,0.9337686920494485,0
sub-093,0.8882723400076113,1.4142135623730951,0.8840474582489141,5.0990195135927845,0.8915482249705468,8.0,0.8879560077423574,0
sub-105,0.8969478737997256,1.0,0.9413856691253951,1.0,0.9033652203621455,2.449489742783178,0.9138995877624221,0
sub-108,0.8894116612435142,1.4142135623730951,0.9264887910878834,1.4142135623730951,0.8939446972348617,4.358898943540674,0.9032817165220864,0
sub-114,0.8354136547820243,1.7320508075688772,0.9384150083282196,2.449489742783178,0.8598320892863082,41.50661905552622,0.8778869174655174,0
sub-117,0.851845108035931,1.0,0.8313377130022124,9.1104335791443,0.8468249258160238,8.54400374531753,0.8433359156180558,0
sub-136,0.8862286248915041,1.4142135623730951,0.942302681895733,2.0,0.9074075916621064,50.57667446560717,0.9119796328164478,0
sub-143,0.8279674796747968,1.4142135623730951,0.9602878733357323,1.4142135623730951,0.9221337049041287,4.58257569495584,0.903463019304886,0
sub-147,0.8497861276524364,1.4142135623730951,0.9262902725709614,2.8284271247461903,0.8809695422063881,63.17436040138623,0.8856819808099287,0
sub-166,0.7030527289546716,2.449489742783178,0.6115528882220556,6.48074069840786,0.4323344610923151,18.13283977302859,0.5823133594230141,0
sub-174,0.8226587356480841,1.4142135623730951,0.9332878994396486,1.4142135623730951,0.915185373285932,46.639567847015115,0.8903773361245549,0
sub-249,0.8408924809767422,3.1622776601683795,0.7915629666500746,7.0710678118654755,0.8229994657904557,20.83266665599966,0.8184849711390908,0
sub-252,0.8537911589970798,1.0,0.9524784924211389,1.0,0.9158505834750483,2.23606797749979,0.907373411631089,0
sub-256,0.6698576337751595,27.76688675382964,0.7893308979558946,30.32735263251186,0.853746681089586,20.96424510666636,0.7709784042735466,0
sub-274,0.7283100716710675,4.898979485566356,0.7762815333512882,5.0,0.6130857892194078,18.708286933869708,0.7058924647472545,0
sub-277,0.8956457958258318,1.0,0.9506546759237687,1.0,0.9327872075496428,2.0,0.9263625597664144,0
sub-284,0.9278906258960625,1.0,0.9538350363000807,1.4142135623730951,0.9188106467921657,28.38397310792971,0.933512102996103,0
sub-390,0.8801048263813059,1.4142135623730951,0.933058702368692,1.4142135623730951,0.6463567314915283,99.46858800646564,0.8198400867471753,0
sub-391,0.8843789439400724,1.4142135623730951,0.9474026480763729,1.4142135623730951,0.8595527408901458,8.48528137423857,0.897111444302197,0
sub-393,0.9179671868747499,1.0,0.9581781972465149,1.0,0.862937062937063,129.49517365523704,0.913027482352776,0
sub-404,0.9457284228986597,1.0,0.9399687690949827,2.0,0.9394609259212741,2.0,0.9417193726383054,0
sub-418,0.8823162077774623,2.449489742783178,0.8872797712388156,4.358898943540674,0.8017380373295439,57.72910862756529,0.8571113387819406,0
sub-428,0.9579804822969594,1.0,0.9614155429105932,1.0,0.9465414419883584,1.4142135623730951,0.9553124890653036,0
