Patient_ID,Dice_ET,HD95_ET,Dice_TC,HD95_TC,Dice_WT,HD95_WT,Dice_Mean
BraTS2021_00000,0.9011733154542407,1.4142135623730951,0.9653432540835901,1.0,0.934264137233021,2.8284271247461903,0.9335935689236173
BraTS2021_00003,0.9119325782573798,1.0,0.9713367132434771,1.0,0.9601580030401109,1.4142135623730951,0.9478090981803226
BraTS2021_00026,0.9046424964301885,1.4142135623730951,0.9349492566959436,1.4142135623730951,0.8961259948265206,3.605551275463989,0.9119059159842177
BraTS2021_00035,0.9395170929954578,1.0,0.9771354456179359,1.0,0.933499467995744,2.23606797749979,0.9500506688697126
BraTS2021_00046,0.9167719519898926,1.4142135623730951,0.958682186372609,1.0,0.9507059697795393,1.4142135623730951,0.9420533693806803
BraTS2021_00048,0.9429226235948925,1.0,0.9783394529359861,1.0,0.8420465217568837,8.54400374531753,0.9211028660959207
BraTS2021_00049,0.9470848566480662,1.0,0.9713859049087142,1.0,0.9133279677702447,2.0,0.943932909775675
BraTS2021_00062,0.9266908961971456,1.0,0.9471041178439906,1.0,0.9639269652889954,1.4142135623730951,0.9459073264433772
BraTS2021_00074,0.8464144748332111,1.4142135623730951,0.9389536882146704,1.7320508075688772,0.9643322110625455,1.4142135623730951,0.9165667913701423
BraTS2021_00077,0.9095228258624252,1.4142135623730951,0.9661239071504227,1.4142135623730951,0.8965091721416621,45.872104570493605,0.9240519683848367
BraTS2021_00085,0.8190671450538185,2.342778860141484,0.63416395810762,4.58257569495584,0.8222254210450555,9.273618495495704,0.7584855080688314
BraTS2021_00090,0.8755112291023893,1.4142135623730951,0.9206027756268985,1.4142135623730951,0.9500788285279106,1.7320508075688772,0.9153976110857328
BraTS2021_00096,0.8638065289008685,1.0,0.9531678118281837,1.0,0.9317181688315709,2.23606797749979,0.9162308365202078
BraTS2021_00100,0.9364205207161327,1.7320508075688772,0.9552660881245691,1.4142135623730951,0.9636031728081937,1.0,0.9517632605496319
BraTS2021_00103,0.849286580786783,1.4142135623730951,0.9317388369177355,2.0,0.9459360092862147,2.8284271247461903,0.9089871423302444
BraTS2021_00104,0.9353727258090485,1.4142135623730951,0.9637978900610772,1.0,0.9455577845496005,1.7320508075688772,0.9482428001399087
BraTS2021_00110,0.979696939685055,1.0,0.9732506984361453,1.0,0.9503316138540899,2.0,0.9677597506584301
BraTS2021_00111,0.30699719871080455,75.63695607224368,0.8498982408207645,75.67033764957046,0.8709087941523799,56.868268832451726,0.6759347445613163
BraTS2021_00117,0.5473830824449564,5.0990195135927845,0.75436099433981,6.557438524302,0.875879798332751,20.700238021392593,0.7258746250391724
BraTS2021_00127,0.9392140656698474,1.0,0.9619032969286776,1.0,0.976720733546889,1.0,0.9592793653818047
BraTS2021_00130,0.7781293769777455,2.449489742783178,0.9348751988942284,3.0,0.9319584161121798,2.0,0.8816543306613845
BraTS2021_00131,0.8873217461852904,1.7320508075688772,0.913751615789997,3.0,0.9375809924314621,2.23606797749979,0.9128847848022498
BraTS2021_00136,0.7295707125735454,43.11148239026224,0.8020481441349565,43.60045871318328,0.7804403597304841,42.912700896220244,0.7706864054796619
BraTS2021_00149,0.0262065953264905,21.77154105707724,0.03382616487455197,21.51273719825264,0.27228566832877593,78.16009211867653,0.11077280950993947
BraTS2021_00172,0.8706442151896138,1.4142135623730951,0.9292321264091953,6.0,0.9478076740535212,4.123105625617661,0.91589467188411
BraTS2021_00184,0.9423701704403459,1.0,0.9570835256114444,2.0,0.9392835215290569,2.0,0.9462457391936158
BraTS2021_00203,0.7065162400080947,5.477225575051661,0.8385118230974095,5.477225575051661,0.8580553546070787,4.69041575982343,0.8010278059041943
BraTS2021_00211,0.8667562099393032,1.4142135623730951,0.9705266548558544,1.0,0.9447950464101924,1.4142135623730951,0.9273593037351168
BraTS2021_00220,0.8800347338187162,1.4142135623730951,0.919006919006919,2.23606797749979,0.9157839990866768,3.0,0.9049418839707707
BraTS2021_00222,0.8159203980099502,1.4142135623730951,0.7883495145631068,2.23606797749979,0.9703885598728875,1.0,0.8582194908153148
BraTS2021_00227,0.7719491993373827,1.4142135623730951,0.8919125515976151,2.0,0.7336167717343498,8.06225774829855,0.7991595075564492
BraTS2021_00235,0.9025301721497274,1.0,0.9742897496469058,1.0,0.9263650958158061,2.23606797749979,0.9343950058708131
BraTS2021_00239,0.6980490874764003,9.0,0.9308222050844935,2.23606797749979,0.8619140263109135,11.180339887498949,0.8302617729572691
BraTS2021_00240,0.9004887130556202,1.0,0.9422713022848589,1.7320508075688772,0.9792126430231635,1.0,0.9406575527878808
BraTS2021_00243,0.6291581108829569,9.273618495495704,0.6192400970088925,9.273618495495704,0.8248838324862028,23.280893453645632,0.6910940134593507
BraTS2021_00247,0.9328761461570254,1.0,0.9332952612695378,3.4641016151377544,0.9284291816786002,2.0,0.9315335297017211
BraTS2021_00266,0.9273380770818661,1.0,0.9695186462748142,1.7320508075688772,0.9677999600275365,1.7320508075688772,0.9548855611280723
BraTS2021_00275,0.9096944205138601,3.605551275463989,0.967723749119098,1.0,0.9524964411873253,1.7320508075688772,0.9433048702734278
BraTS2021_00280,0.8490130439801454,1.7320508075688772,0.920373567034037,1.7320508075688772,0.8277805964259541,6.8698539314152,0.8657224024800456
BraTS2021_00288,0.8934669112459432,1.0,0.9142934269132137,1.0,0.9594876792426563,1.0,0.9224160058006045
BraTS2021_00294,0.8641423859263332,34.20380067713248,0.9303280498035233,37.39251175928578,0.9787182757685625,1.0,0.9243962371661397
BraTS2021_00299,0.6811926605504587,5.0,0.6807162331442046,5.0990195135927845,0.9087020967791742,2.8284271247461903,0.7568703301579459
BraTS2021_00301,0.966983534204719,1.0,0.9868199784405318,1.0,0.9445821395284615,2.0,0.9661285507245708
BraTS2021_00313,0.7402439024390244,4.58257569495584,0.8686136198826554,6.4031242374328485,0.9063298406774796,2.23606797749979,0.8383957876663864
BraTS2021_00314,0.9125617862621442,1.0,0.9396438811993345,3.0,0.8094437623949381,14.510331011268894,0.8872164766188056
BraTS2021_00316,0.9657850455192648,1.0,0.9750472994681041,1.0,0.9369651429764141,2.8284271247461903,0.9592658293212609
